status	dataset_id	zip_path	size_bytes	seconds	blosc_arrays	blosc_chunks	message
converted	ebc2e1ff-c8f9-466a-acf4-9d291afaf8b3	/mnt/shared-storage-user/dnacoding/wangzhongqi/Data/cellxgene/Homo_sapiens/ebc2e1ff-c8f9-466a-acf4-9d291afaf8b3/full.zarr.zip	6736883173	50.546883065253496	6	4554	ok
converted	e522d2cd-7927-4e59-a4ed-064009569279	/mnt/shared-storage-user/dnacoding/wangzhongqi/Data/cellxgene/Homo_sapiens/e522d2cd-7927-4e59-a4ed-064009569279/full.zarr.zip	11490689583	97.4765344299376	6	10498	ok
converted	ed9e9f96-4f08-49d2-bef5-b2c29adf3edc	/mnt/shared-storage-user/dnacoding/wangzhongqi/Data/cellxgene/Homo_sapiens/ed9e9f96-4f08-49d2-bef5-b2c29adf3edc/full.zarr.zip	65607356	0.7044040970504284	6	50	ok
converted	ed5d841d-6346-47d4-ab2f-7119ad7e3a35	/mnt/shared-storage-user/dnacoding/wangzhongqi/Data/cellxgene/Homo_sapiens/ed5d841d-6346-47d4-ab2f-7119ad7e3a35/full.zarr.zip	2525416822	17.202639151364565	9	2053	ok
converted	ed880090-465d-4477-9d98-70838ca288e3	/mnt/shared-storage-user/dnacoding/wangzhongqi/Data/cellxgene/Homo_sapiens/ed880090-465d-4477-9d98-70838ca288e3/full.zarr.zip	2952054333	20.560123778879642	6	1890	ok
converted	edbfa04a-f1dd-496a-8237-df11d70621ca	/mnt/shared-storage-user/dnacoding/wangzhongqi/Data/cellxgene/Homo_sapiens/edbfa04a-f1dd-496a-8237-df11d70621ca/full.zarr.zip	1105291144	7.8232271410524845	6	714	ok
converted	ee195b7d-184d-4dfa-9b1c-51a7e601ac11	/mnt/shared-storage-user/dnacoding/wangzhongqi/Data/cellxgene/Homo_sapiens/ee195b7d-184d-4dfa-9b1c-51a7e601ac11/full.zarr.zip	26892840	0.25805778056383133	3	29	ok
converted	eeacb0c1-2217-4cf6-b8ce-1f0fedf1b569	/mnt/shared-storage-user/dnacoding/wangzhongqi/Data/cellxgene/Homo_sapiens/eeacb0c1-2217-4cf6-b8ce-1f0fedf1b569/full.zarr.zip	146285563	1.1680886186659336	6	106	ok
converted	eec804b9-2ae5-44f0-a1b5-d721e21257de	/mnt/shared-storage-user/dnacoding/wangzhongqi/Data/cellxgene/Homo_sapiens/eec804b9-2ae5-44f0-a1b5-d721e21257de/full.zarr.zip	12219544	0.17246585339307785	6	10	ok
converted	edb69e37-d90e-4189-8e96-02f95881ead8	/mnt/shared-storage-user/dnacoding/wangzhongqi/Data/cellxgene/Homo_sapiens/edb69e37-d90e-4189-8e96-02f95881ead8/full.zarr.zip	4940617649	23.049317628145218	6	2798	ok
converted	ef1a4b05-540c-4f73-8ceb-49dfa800645d	/mnt/shared-storage-user/dnacoding/wangzhongqi/Data/cellxgene/Homo_sapiens/ef1a4b05-540c-4f73-8ceb-49dfa800645d/full.zarr.zip	787151317	4.460808977484703	6	490	ok
converted	f0e0575d-d64d-4418-809e-60789bf6c155	/mnt/shared-storage-user/dnacoding/wangzhongqi/Data/cellxgene/Homo_sapiens/f0e0575d-d64d-4418-809e-60789bf6c155/full.zarr.zip	29880614	0.40070248395204544	6	26	ok
converted	ef0fc6ac-4872-40e1-ab24-e445b19ca6e3	/mnt/shared-storage-user/dnacoding/wangzhongqi/Data/cellxgene/Homo_sapiens/ef0fc6ac-4872-40e1-ab24-e445b19ca6e3/full.zarr.zip	1190505735	6.454425096511841	12	720	ok
converted	d7f5d8d0-6150-48d7-b094-c34286ad11a1	/mnt/shared-storage-user/dnacoding/wangzhongqi/Data/cellxgene/Homo_sapiens/d7f5d8d0-6150-48d7-b094-c34286ad11a1/full.zarr.zip	22674104984	177.85919816046953	6	16738	ok
converted	f156606a-dd9a-49fd-bc40-0e069b6cf07c	/mnt/shared-storage-user/dnacoding/wangzhongqi/Data/cellxgene/Homo_sapiens/f156606a-dd9a-49fd-bc40-0e069b6cf07c/full.zarr.zip	82900183	0.807652086019516	6	62	ok
converted	f15e263b-6544-46cb-a46e-e33ab7ce8347	/mnt/shared-storage-user/dnacoding/wangzhongqi/Data/cellxgene/Homo_sapiens/f15e263b-6544-46cb-a46e-e33ab7ce8347/full.zarr.zip	180552312	1.5604361593723297	6	130	ok
converted	edc8d3fe-153c-4e3d-8be0-2108d30f8d70	/mnt/shared-storage-user/dnacoding/wangzhongqi/Data/cellxgene/Homo_sapiens/edc8d3fe-153c-4e3d-8be0-2108d30f8d70/full.zarr.zip	3068518458	15.861460912972689	6	1962	ok
converted	f20f44ef-a0d4-4d94-87de-037fd47141f0	/mnt/shared-storage-user/dnacoding/wangzhongqi/Data/cellxgene/Homo_sapiens/f20f44ef-a0d4-4d94-87de-037fd47141f0/full.zarr.zip	163143257	1.2485051937401295	3	183	ok
