[2026-07-03T14:42:08] root=/mnt/shared-storage-user/dnacoding/wangzhongqi/Data/cellxgene/Homo_sapiens tasks=622 jobs=8 blocksize=65536 verify=True
[2026-07-03T14:42:08] skipped     0.0% 00476f9f-ebc1-4b72-b541-32f912ce36ea (98.5 MiB, 0.0s) already at target blocksize
[2026-07-03T14:45:21] converted  14.5% 3294d050-6eeb-4a00-b24c-71aacc9b777f (1095.0 MiB, 13.4s) ok
[2026-07-03T14:45:21] converted  14.5% 381aa407-317a-40ef-8048-7ce0eacc4266 (137.7 MiB, 1.1s) ok
[2026-07-03T14:45:22] converted  14.5% 38a78e91-e361-45c8-bae3-1d6d5108d18e (240.9 MiB, 1.7s) ok
[2026-07-03T14:45:23] converted  14.6% 390b376d-8857-4b4b-991f-0d7326938172 (339.7 MiB, 1.6s) ok
[2026-07-03T14:45:24] converted  14.6% 39ed7d98-676d-4b8d-9d0a-0f3b60914ead (178.9 MiB, 1.4s) ok
[2026-07-03T14:45:27] converted  14.6% 3a702020-cf66-4ef5-9d11-4a5e835b7efb (384.8 MiB, 3.0s) ok
[2026-07-03T14:45:28] converted  14.7% 37b21763-7f0f-41ae-9001-60bad6e2841d (996.9 MiB, 7.6s) ok
[2026-07-03T14:45:33] converted  14.7% 3a8aec06-3309-4d37-b75d-c59f5f6d55a6 (665.0 MiB, 5.8s) ok
[2026-07-03T14:45:37] converted  14.8% 3bfd5174-5b49-4e58-b233-ed0f4edd0bec (715.7 MiB, 3.8s) ok
[2026-07-03T14:45:44] converted  14.9% 3b8b5de4-3aa1-4ac6-8890-8d03c8219981 (2325.0 MiB, 16.5s) ok
[2026-07-03T14:45:46] converted  15.2% 34f5307e-7b4d-4a48-b68f-2ba844c6414b (4457.4 MiB, 37.4s) ok
[2026-07-03T14:45:50] converted  15.6% 3966ba97-beb8-4d0b-9954-d3775cd2cd61 (5388.9 MiB, 27.2s) ok
[2026-07-03T14:45:51] converted  16.1% 364bd0c7-f7fd-48ed-99c1-ae26872b1042 (6516.7 MiB, 38.0s) ok
[2026-07-03T14:45:52] converted  16.1% 3c75a463-6a87-4132-83a8-c3002624394d (840.7 MiB, 6.2s) ok
[2026-07-03T14:45:56] converted  16.1% 3de0ad6d-4378-4f62-b37b-ec0b75a50d94 (373.8 MiB, 3.3s) ok
[2026-07-03T14:45:59] converted  16.2% 3e524d45-2265-4440-b903-3c30d51a0b17 (462.4 MiB, 3.6s) ok
[2026-07-03T14:45:59] converted  16.4% 3c361813-5d5e-4868-bfe5-e7591e7b5381 (2707.3 MiB, 22.3s) ok
[2026-07-03T14:46:00] converted  16.4% 3dc61ca1-ce40-46b6-8337-f27260fd9a03 (1077.8 MiB, 8.4s) ok
[2026-07-03T14:46:00] converted  16.4% 3e55180c-780a-4424-9434-5296640ffc0d (55.6 MiB, 0.5s) ok
[2026-07-03T14:46:02] converted  16.5% 3f56901c-dd4a-47d6-b60b-7b0c0111cfb2 (301.2 MiB, 2.2s) ok
[2026-07-03T14:46:02] converted  16.5% 3f31f8ce-bbf6-4df8-8203-aa240ed03026 (354.2 MiB, 2.5s) ok
[2026-07-03T14:46:06] converted  16.5% 3f6ab2aa-6c63-4753-b652-3a9b9e7c8ee5 (743.2 MiB, 3.8s) ok
[2026-07-03T14:46:12] converted  17.1% 350237e0-9f48-4cbd-9140-3b44495549f3 (8463.6 MiB, 63.3s) ok
[2026-07-03T14:46:15] converted  17.1% 40318d39-3d8f-49f4-8455-a2e1365c5c5b (322.2 MiB, 2.5s) ok
[2026-07-03T14:46:15] converted  17.2% 3f32121d-126b-4e8d-9f69-d86502d2a1b1 (1012.7 MiB, 15.6s) ok
[2026-07-03T14:46:16] converted  17.2% 40569510-2282-461b-84df-6218ef208e0e (138.7 MiB, 1.1s) ok
[2026-07-03T14:46:18] converted  17.3% 4023a2bc-6325-47db-bfdf-9639e91042c2 (1495.4 MiB, 11.9s) ok
[2026-07-03T14:46:19] converted  17.6% 3faad104-2ab8-4434-816d-474d8d2641db (3673.1 MiB, 17.0s) ok
[2026-07-03T14:46:21] converted  17.6% 421e5f54-5de7-425f-b399-34ead0651ce1 (403.9 MiB, 3.2s) ok
[2026-07-03T14:46:21] converted  17.6% 4057e00c-0678-454a-90e4-b341a162d007 (661.6 MiB, 5.7s) ok
[2026-07-03T14:46:22] converted  18.8% 1e6a6ef9-7ec9-4c90-bbfb-2ad3c3165fd1 (17195.6 MiB, 137.4s) ok
[2026-07-03T14:46:22] converted  18.8% 42b6a476-c51d-4f8b-b68b-44941b3a11bf (133.9 MiB, 1.3s) ok
[2026-07-03T14:46:24] converted  18.9% 4319097a-acae-4124-beed-d1173ffe1464 (615.3 MiB, 3.5s) ok
[2026-07-03T14:46:25] converted  19.2% 3cb646ab-d411-4e5b-89eb-082a786c953b (4086.3 MiB, 35.2s) ok
[2026-07-03T14:46:25] converted  19.2% 43560d7c-acd6-4ede-830d-c9ffc6cd0862 (134.9 MiB, 1.0s) ok
[2026-07-03T14:46:26] converted  19.2% 432f3af5-6a79-401f-b315-fb2df789f32c (769.1 MiB, 4.1s) ok
[2026-07-03T14:46:27] converted  19.3% 43a1506b-aa9e-46a3-b288-d210f4595ddf (311.8 MiB, 2.7s) ok
[2026-07-03T14:46:28] converted  19.3% 43b7e156-65b3-4a7b-8c7a-08528e4b21d0 (339.8 MiB, 2.5s) ok
[2026-07-03T14:46:29] converted  19.4% 429d21fd-bb9a-4abf-922b-c15138524bdd (1296.0 MiB, 10.1s) ok
[2026-07-03T14:46:29] converted  19.4% 43dc52cb-92eb-4256-b3a8-5ef220b3d292 (404.9 MiB, 2.9s) ok
[2026-07-03T14:46:30] converted  19.4% 44882825-0da1-4547-b721-2c6105d4a9d1 (282.6 MiB, 2.3s) ok
[2026-07-03T14:46:31] converted  19.4% 456e8b9b-f872-488b-871d-94534090a865 (204.8 MiB, 1.8s) ok
[2026-07-03T14:46:31] converted  19.5% 4593c820-512d-4805-a10f-c0b864a7cc8c (323.4 MiB, 2.4s) ok
[2026-07-03T14:46:32] converted  19.5% 460dfe21-0550-4521-92fe-db0f3036d8b0 (221.7 MiB, 1.8s) ok
[2026-07-03T14:46:32] converted  19.5% 470565f2-5afc-456a-b617-18e4496c04fd (24.7 MiB, 0.3s) ok
[2026-07-03T14:46:34] converted  19.5% 46ff9dc2-3d87-4b36-91aa-ffa8aa13c52e (366.0 MiB, 2.7s) ok
[2026-07-03T14:46:34] converted  19.5% 471647b3-04fe-4c76-8372-3264feb950e8 (497.8 MiB, 2.6s) ok
[2026-07-03T14:46:35] converted  19.5% 4859642c-d155-437b-adf5-83ca6c1bef67 (46.9 MiB, 0.3s) ok
[2026-07-03T14:46:36] converted  19.5% 489318a0-24c3-4f5c-b105-f084ed0ea026 (139.6 MiB, 1.2s) ok
[2026-07-03T14:46:36] converted  19.6% 4724c395-0c46-46d2-81f7-60fd271fb488 (257.3 MiB, 1.9s) ok
[2026-07-03T14:46:37] converted  19.6% 492d9f77-c4c8-485d-92d7-7686fe6c8482 (92.2 MiB, 0.9s) ok
[2026-07-03T14:46:37] converted  19.6% 4993d61c-1d04-4630-9c61-8d9431f39adc (15.1 MiB, 0.2s) ok
[2026-07-03T14:46:38] converted  19.6% 4976b234-9028-4b4b-8a2f-8ac59d636219 (322.1 MiB, 2.3s) ok
